Drone_ID,X (m),Y (m),Z (m)
379,-44.5,-16.5,60
380,-34.5,-16.5,60
381,-24.5,-16.5,60
382,-14.5,-16.5,60
383,-4.5,-16.5,60
384,5.5,-16.5,60
385,-104.5,-6.5,60
386,-94.5,-6.5,60
387,-84.5,-6.5,60
388,-74.5,-6.5,60
389,-64.5,-6.5,60
390,-54.5,-6.5,60
391,-44.5,-6.5,60
392,-34.5,-6.5,60
393,-24.5,-6.5,60
394,-14.5,-6.5,60
395,-4.5,-6.5,60
396,5.5,-6.5,60
397,-104.5,3.5,60
398,-94.5,3.5,60
399,-84.5,3.5,60
400,-74.5,3.5,60
401,-64.5,3.5,60
402,-54.5,3.5,60
403,-44.5,3.5,60
404,-34.5,3.5,60
405,-24.5,3.5,60
406,-14.5,3.5,60
407,-4.5,3.5,60
408,5.5,3.5,60
409,-104.5,13.5,60
410,-94.5,13.5,60
411,-84.5,13.5,60
412,-74.5,13.5,60
413,-64.5,13.5,60
414,-54.5,13.5,60
415,-44.5,13.5,60
416,-34.5,13.5,60
417,-24.5,13.5,60
418,-14.5,13.5,60
419,-4.5,13.5,60
420,5.5,13.5,60
421,-104.5,-26.5,70
422,-94.5,-26.5,70
423,-84.5,-26.5,70
424,-74.5,-26.5,70
425,-64.5,-26.5,70
426,-54.5,-26.5,70
427,-44.5,-26.5,70
428,-34.5,-26.5,70
429,-24.5,-26.5,70
430,-14.5,-26.5,70
431,-4.5,-26.5,70
432,5.5,-26.5,70
433,-104.5,-16.5,70
434,-94.5,-16.5,70
435,-84.5,-16.5,70
436,-74.5,-16.5,70
437,-64.5,-16.5,70
438,-54.5,-16.5,70
439,-44.5,-16.5,70
440,-34.5,-16.5,70
441,-24.5,-16.5,70
442,-14.5,-16.5,70
443,-4.5,-16.5,70
444,5.5,-16.5,70
445,-104.5,-6.5,70
446,-94.5,-6.5,70
447,-84.5,-6.5,70
448,-74.5,-6.5,70
449,-64.5,-6.5,70
450,-54.5,-6.5,70
451,-44.5,-6.5,70
452,-34.5,-6.5,70
453,-24.5,-6.5,70
454,-14.5,-6.5,70
455,-4.5,-6.5,70
456,5.5,-6.5,70
457,-104.5,3.5,70
458,-94.5,3.5,70
459,-84.5,3.5,70
460,-74.5,3.5,70
461,-64.5,3.5,70
462,-54.5,3.5,70
463,-44.5,3.5,70
464,-34.5,3.5,70
465,-24.5,3.5,70
466,-14.5,3.5,70
467,-4.5,3.5,70
468,5.5,3.5,70
469,-104.5,13.5,70
470,-94.5,13.5,70
471,-84.5,13.5,70
472,-74.5,13.5,70
473,-64.5,13.5,70
474,-54.5,13.5,70
475,-44.5,13.5,70
476,-34.5,13.5,70
477,-24.5,13.5,70
478,-14.5,13.5,70
479,-4.5,13.5,70
480,5.5,13.5,70
481,-104.5,-26.5,80
