Drone_ID,X (m),Y (m),Z (m)
406,-507.5,-164.5,0
407,-682.5,297.5,0
408,-1970.5,-98.0,0
409,-1578.5,262.5,0
410,1358.0,-101.5,0
411,-1431.5,63.0,0
412,-1568.0,301.0,0
413,-448.0,528.5,0
414,-1102.5,136.5,0
415,-1939.0,346.5,0
416,280.0,84.0,0
417,-721.0,329.0,0
418,-735.0,-91.0,0
419,-598.5,525.0,0
420,2089.5,35.0,0
421,1421.0,483.0,0
422,-626.5,-178.5,0
423,-1981.0,507.5,0
424,-787.5,119.0,0
425,-1379.0,420.0,0
426,1316.0,255.5,0
427,-1151.5,143.5,0
428,-794.5,455.0,0
429,-1883.0,-87.5,0
430,1830.5,-178.5,0
431,-1561.0,444.5,0
432,-651.0,112.0,0
433,-392.0,427.0,0
434,833.0,-73.5,0
435,-388.5,528.5,0
436,332.5,105.0,0
437,-686.0,45.5,0
438,-913.5,567.0,0
439,-1295.0,420.0,0
440,-1389.5,350.0,0
441,-2086.0,199.5,0
442,-661.5,31.5,0
443,-1655.5,574.0,0
444,-1312.5,336.0,0
445,-2026.5,185.5,0
446,-1260.0,112.0,0
447,2159.5,161.0,0
448,-294.0,528.5,0
449,-2082.5,-157.5,0
450,794.5,318.5,0
451,798.0,252.0,0
452,-1312.5,-24.5,0
453,-2166.5,486.5,0
454,-1288.0,-105.0,0
455,-700.0,-94.5,0
456,2320.5,-185.5,0
457,1473.5,224.0,0
458,-336.0,206.5,0
459,2142.0,115.5,0
460,1459.5,-119.0,0
461,-2296.0,497.0,0
462,882.0,210.0,0
463,-602.0,521.5,0
464,388.5,171.5,0
465,-591.5,-108.5,0
466,-1165.5,129.5,0
467,1260.0,-140.0,0
468,700.0,427.0,0
469,1396.5,-168.0,0
470,-1291.5,350.0,0
471,2082.5,248.5,0
472,-801.5,17.5,0
473,-773.5,108.5,0
474,-2002.0,171.5,0
475,1620.5,-147.0,0
476,-987.0,385.0,0
477,-619.5,385.0,0
478,2058.0,-70.0,0
479,-1039.5,360.5,0
480,2065.0,-59.5,0
481,-1893.5,-175.0,0
482,-2009.0,175.0,0
483,-1011.5,437.5,0
484,-2257.5,-112.0,0
485,1358.0,535.5,0
486,-1067.5,203.0,0
487,1477.0,234.5,0
488,-455.0,-115.5,0
489,2149.0,126.0,0
490,-1956.5,462.0,0
491,-2033.5,231.0,0
492,766.5,-49.0,0
493,882.0,262.5,0
494,903.0,252.0,0
495,689.5,458.5,0
496,1396.5,143.5,0
497,329.0,35.0,0
498,875.0,-38.5,0
499,-745.5,311.5,0
500,-1620.5,437.5,0
501,-1008.0,549.5,0
502,-2303.0,63.0,0
503,-717.5,339.5,0
504,1610.0,248.5,0
505,-1876.0,-150.5,0
506,-2313.5,535.5,0
507,1225.0,45.5,0
508,1946.0,-157.5,0
509,1183.0,-84.0,0
510,-1589.0,252.0,0
511,784.0,-161.0,0
512,-451.5,185.5,0
513,315.0,-17.5,0
514,-1963.5,336.0,0
515,1893.5,-122.5,0
516,-633.5,-101.5,0
517,-2233.0,507.5,0
518,1130.5,-129.5,0
519,-1197.0,437.5,0
520,-1662.5,455.0,0
521,-2355.5,427.0,0
522,1445.5,185.5,0
523,1330.0,479.5,0
524,2352.0,-157.5,0
525,451.5,161.0,0
526,-1932.0,-150.5,0
527,-1589.0,497.0,0
528,931.0,245.0,0
529,-2103.5,255.5,0
530,-773.5,84.0,0
531,931.0,-136.5,0
532,-686.0,528.5,0
533,1407.0,-112.0,0
534,-637.0,318.5,0
535,1288.0,406.0,0
536,-2208.5,-98.0,0
537,1491.0,171.5,0
538,1183.0,-28.0,0
539,1340.5,126.0,0
540,-1536.5,248.5,0
541,-1858.5,420.0,0
542,-1403.5,-143.5,0
543,-1326.5,35.0,0
544,854.0,98.0,0
545,465.5,210.0,0
546,-2012.5,430.5,0
547,-2019.5,560.0,0
548,-759.5,315.0,0
549,1582.0,567.0,0
550,-297.5,185.5,0
551,847.0,-63.0,0
552,1337.0,518.0,0
553,1554.0,507.5,0
554,-1099.0,231.0,0
555,1288.0,276.5,0
556,2131.5,220.5,0
557,-318.5,241.5,0
558,-1487.5,105.0,0
559,290.5,31.5,0
560,1137.5,248.5,0
561,-1536.5,441.0,0
562,-1967.0,346.5,0
563,1144.5,423.5,0
564,-518.0,-45.5,0
565,1533.0,497.0,0
566,423.5,388.5,0
567,-273.0,451.5,0
568,304.5,248.5,0
569,458.5,360.5,0
570,283.5,339.5,0
571,-1953.0,157.5,0
572,-591.5,455.0,0
573,-1890.0,-35.0,0
574,546.0,581.0,0
575,-2215.5,42.0,0
576,-2033.5,-66.5,0
577,-1085.0,290.5,0
578,2093.0,262.5,0
579,875.0,129.5,0
580,-2110.5,126.0,0
581,-2268.0,157.5,0
582,-605.5,-143.5,0
583,-997.5,427.0,0
584,-1438.5,-17.5,0
585,-304.5,196.0,0
586,1134.0,-87.5,0
587,1239.0,-164.5,0
588,752.5,196.0,0
589,934.5,66.5,0
590,1424.5,101.5,0
591,1554.0,486.5,0
592,798.0,234.5,0
593,2033.5,206.5,0
594,1407.0,-77.0,0
595,-437.5,542.5,0
596,-1176.0,245.0,0
597,-346.5,-129.5,0
598,-703.5,542.5,0
599,1172.5,42.0,0
600,2054.5,203.0,0
